GEOID,Latitude,Longitude,block_pop,area_km2,pop_density
170318407001,41.85370511538357,-87.69732841407246,938.0,0.2215886815577668,4233.068193762727
170313005001,41.84946834495197,-87.7215844446476,809.0,0.19089071055427767,4238.027076597684
170313005002,41.84611597946463,-87.72216663456284,2448.0,0.2978980355226412,8217.576848753486
170313006001,41.84982101024317,-87.71738379381952,1388.0,0.2944653727060196,4713.6272331270475
170313006002,41.84617821841559,-87.71728533947964,1824.0,0.2973993915062741,6133.166550078567
170318412003,41.855854519392565,-87.6810592697555,1835.0,0.2168616578021689,8461.615661326221
170318412001,41.85329381264042,-87.6807733101655,1596.0,0.19479783657470587,8193.109472177975
170318413001,41.85092474172512,-87.68046401910814,1253.0,0.18451584551797298,6790.744699906817
170318413004,41.84176791597899,-87.68133578857869,773.0,1.195992435428351,646.3251581713774
170318413003,41.846697045851414,-87.68318954334781,797.0,0.27968735484422885,2849.610417474494
170314204001,41.783169956010575,-87.60355836196572,1329.0,0.4411914250847375,3012.2978925638577
170314206001,41.78421989731763,-87.61370742795204,1022.0,0.2193621148703472,4658.963105840075
170314206002,41.78180571773103,-87.61284742639721,1197.0,0.21908916849277035,5463.528882942012
170314207001,41.77856253840626,-87.60771416388441,548.0,0.220428037672112,2486.0721248861873
170314207002,41.774927769910754,-87.60763319385732,509.0,0.2204086161862382,2309.3471063305046
171978804142,41.568340765529925,-88.17301913940311,,1.712915493502577,
171978804141,41.561788243858416,-88.1712195387374,,2.3176963368696177,
171978804161,41.55822540206286,-88.1858312835077,,2.428728463749438,
170314207004,41.778497216959906,-87.61135269369703,643.0,0.21908864198568095,2934.8851413393886
170314207005,41.77663257213939,-87.61433374679332,710.0,0.2907886981306094,2441.635471269586
170314208001,41.77862542896643,-87.60315163733738,1024.0,0.33085079281089885,3095.050766843039
170314208002,41.77498355283519,-87.60337512758024,1189.0,0.2946576079757346,4035.1919238342407
170318094021,42.04948642404351,-87.68326758574766,,0.45771261441226546,
170310818004,41.893766357609934,-87.6408421498775,,0.181595373106686,
170314911001,41.70451192496507,-87.63496538899484,684.0,0.3937951683587089,1736.9436066237938
170318099002,42.037646205910846,-87.67887478118817,,0.5205664641372088,
170318094012,42.044177664904,-87.68077260271914,,0.36580461723263435,
170312801002,41.887298256145286,-87.64139306084341,1172.0,0.31994193452969105,3663.1646980656633
170312315002,41.89361967982746,-87.71686941205571,970.0,0.2236949908770993,4336.261604234713
170312206024,41.92740753278606,-87.71114740407485,1760.0,0.21239864639482298,8286.30516189061
170310818001,41.89551728608945,-87.63646098438306,3285.0,0.5613368923556266,5852.100663141231
170318094011,42.04329007398796,-87.6677767971619,,3.841172214363386,
170310314005,41.963131569543684,-87.63970992353514,1091.0,4.10468865734012,265.793606062921
170313201022,41.88291734827959,-87.62395828201588,,0.3616336015537619,
170314911002,41.70010317331808,-87.63549931316423,809.0,0.40384629504395414,2003.2373948408997
170314911003,41.69499783301358,-87.63535018852666,851.0,0.40273258564516223,2113.064674507851
170314911004,41.69602589406069,-87.64006896006633,1243.0,0.5861524043287606,2120.608890828378
170314911005,41.70330816396934,-87.64029424924799,927.0,0.5866583852082121,1580.1359417559447
170315703001,41.80601077489147,-87.72597676288461,1384.0,0.2981852663258935,4641.409741846181
170519511004,38.8554580021866,-88.7310611917974,,77.52393728134787,
170830101002,39.12555317628945,-90.3086650940016,,8.340188168357798,
